resistance,temperature
550.2,150
563.5,149
577.1,148
591.1,147
605.5,146
620.3,145
635.6,144
651.3,143
667.5,142
684.1,141
701.2,140
718.8,139
736.9,138
755.6,137
774.8,136
794.6,135
815,134
836.1,133
857.7,132
880,131
903,130
926.7,129
951.1,128
976.3,127
1002,126
1029,125
1057,124
1085,123
1114,122
1145,121
1176,120
1208,119
1241,118
1276,117
1311,116
1348,115
1386,114
1425,113
1465,112
1507,111
1550,110
1594,109
1640,108
1688,107
1737,106
1788,105
1840,104
1894,103
1950,102
2009,101
2069,100
2131,99
2195,98
2262,97
2331,96
2402,95
2476,94
2552,93
2632,92
2714,91
2799,90
2887,89
2979,88
3073,87
3172,86
3273,85
3379,84
3489,83
3602,82
3720,81
3843,80
3970,79
4102,78
4239,77
4381,76
4529,75
4682,74
4842,73
5007,72
5180,71
5359,70
5545,69
5738,68
5940,67
6149,66
6367,65
6594,64
6830,63
7076,62
7332,61
7599,60
7876,59
8166,58
8467,57
8781,56
9109,55
9450,54
9807,53
10180,52
10570,51
10970,50
11390,49
11830,48
12290,47
12770,46
13280,45
13800,44
14350,43
14920,42
15520,41
16150,40
16800,39
17490,38
18210,37
18960,36
19740,35
20570,34
21430,33
22330,32
23280,31
24270,30
25310,29
26400,28
27540,27
28740,26
30000,25
31320,24
32710,23
34170,22
35700,21
37300,20
38990,19
40770,18
42640,17
44600,16
46670,15
48840,14
51130,13
53540,12
56070,11
58750,10
61560,9
64530,8
67660,7
70960,6
74440,5
78110,4
81990,3
86090,2
90410,1
94980,0
99800,-1
104900,-2
110300,-3
116000,-4
122100,-5
128500,-6
135200,-7
142400,-8
150000,-9
158000,-10
166600,-11
175600,-12
185200,-13
195400,-14
206200,-15
217600,-16
229800,-17
242800,-18
256500,-19
271200,-20
286700,-21
303300,-22
320900,-23
339600,-24
359600,-25
380900,-26
403500,-27
427700,-28
453500,-29
481000,-30
510400,-31
541700,-32
575200,-33
611000,-34
649300,-35
690200,-36
733900,-37
780800,-38
830900,-39
884600,-40
